item_id1,item_id2,result
51050933-05,57050248-52,0
53000623-08,53033761-99,1
51065775-09,57080977-52,0
53030691-OR,53081158-OR,1
57010101-01,53093739-99,0
53033776-OR,51033029-70,1
57050271-OR,53050548-99,0
53073715-99,53000658-99,1
57006705-99,57012511-99,0
53080809-OR,53023750-01,1
57015794-99,57014432-01,0
53000759-99,53031097-OR,1
57040291-TM,57044430-02,0
51033029-99,51083028-99,1
57007587-99,53080545-07,0
53073715-05,53053793-OR,1
47017722-CU,53090511-CU,0
43073737-OR,53030636-07,1
57002513-99,57087691-TM,0
43003754-OR,51093712-06,1
57098272-09,53021098-OR,0
51030638-02,51033705-03,1
57091502-OR,43035019-08,0
53091158-OR,53003778-OR,1
57069101-95,57050184-01,0
53073772-80,53015776-07,1
57071168-OR,57050294-OR,0
51033705-06,53043776-92,1
57053802-TN,41083009-02,0
43003754-OR,53091158-OR,1
57020047-99,57089084-99,0
53020588-99,53000759-99,1
53193794-OR,53003778-OR,0
51033705-69,53020922-02,1
67020442-PL,57010612-99,0
51080752-08,53030691-OR,1
57016021-PL,57038274-01,0
53053763-30,53080828-OR,1
57054422-08,57085809-52,0
53030963-99,51033705-99,1
57086003-OR,57072508-31,0
53033776-OR,53093739-99,1
53073754-OR,37000577-30,0
53020588-99,53073754-OR,1
57002516-99,57027691-TO,0
53010582-01,51033727-30,1
57057686-56,51060905-02,0
51043727-30,51035023-05,1
57040108-80,57004436-99,0
53091158-OR,53080809-OR,1
57096311-06,57097747-17,0
53090733-99,53045718-99,1
43073737-OR,53070745-79,0
51033727-92,51043727-92,1
57004789-99,57002513-99,0
53020608-07,53030963-99,1
53023784-07,57065808-26,0
53050831-OR,51023731-08,1
57004436-99,57050230-01,0
53030691-OR,53030963-99,1
47028651-99,57069109-99,0
51013711-02,53080920-99,1
53040578-01,53061096-OR,0
51023731-56,51033730-56,1
57001061-56,57050070-02,0
53091158-OR,53003778-OR,1
57066021-99,57072504-OR,0
53013793-99,51033705-99,1
53041096-OR,57066716-94,0
51033742-70,53013788-99,1
57005133-99,57013782-OR,0
53023028-99,53080545-07,1
53091158-OR,57075782-77,0
51033742-99,53053740-99,1
53090827-OR,57056305-31,0
53080809-OR,53080828-OR,1
57094432-30,47076304-01,0
53063786-99,53050518-99,1
43005802-OR,57000157-99,0
51033747-04,53043051-99,1
53075713-06,53043767-99,0
53091158-OR,53080809-OR,1
57037512-CG,67050590-99,0
53053760-51,51033705-69,1
57017885-43,57080490-08,0
53030963-99,51070902-99,1
51085752-32,57087880-99,0
53003778-OR,51033747-76,1
57050184-99,57063803-02,0
53030691-OR,53080920-99,1
57057700-99,57053275-02,0
53043747-99,51033705-99,1
43005808-01,57094424-99,0
51033748-30,53065708-08,1
57054407-99,53091158-OR,0
53080809-OR,53050624-01,1
57003276-98,57051087-TM,0
57055921-02,53085759-01,1
57066023-01,57015803-99,0
51033785-20,51093784-20,1
53080809-OR,53080809-OR,0
53033776-OR,53060830-OR,1
57051087-TM,53103803-OR,0
53093739-99,53083725-01,1
57097744-30,53090742-99,0
51035008-99,53000586-TC,1
57004781-99,53080828-OR,0
53080809-OR,53033776-OR,1
47001195-02,53020588-99,0
53080920-99,53043747-99,1
53030691-OR,53003761-OR,0
53090529-99,51035023-05,1
53070830-OR,57040257-02,0
53093739-99,57015905-32,1
47015857-OR,53060518-02,0
51035026-30,53075708-08,1
53030691-OR,47039037-20,0
57017699-08,53095779-30,1
67040070-OR,57075978-99,0
53063786-99,51035029-43,1
53080809-OR,53065776-99,0
53013749-99,53030812-OR,1
57052003-01,53080828-OR,0
53080809-OR,57075781-99,1
53043746-32,57065149-99,0
51035034-79,53093746-TO,1
51043728-56,47077845-99,0
53033751-99,57095920-OR,1
57096031-52,53013788-99,0
53091158-OR,53003778-OR,1
53005773-08,57001026-99,0
53063786-99,53023716-99,1
57004423-70,43099087-50,0
51035727-91,53053715-99,1
53080809-OR,53031097-OR,0
53063776-02,53075776-CG,1
57050336-OR,57073799-99,0
51035727-99,53000586-07,1
57030449-52,53020943-99,0
53033776-OR,53063786-99,1
57065149-02,53065781-08,0
53095779-30,51035734-30,1
57020047-99,53013753-17,0
53030691-OR,53065769-99,1
57047881-OR,53020585-99,0
51005758-30,51035743-08,1
53050829-OR,53030720-OR,0
43063738-46,43073754-OR,1
57005952-PL,57095788-56,0
43003751-OR,51040588-01,1
57050294-OR,57043797-99,0
43067730-99,43027739-99,1
57034008-05,53030690-70,0
43073737-OR,53040593-08,1
57095786-05,57072509-99,0
43087766-OR,43027739-99,1
57064001-02,47087877-01,0
51040588-02,43065819-50,1
57006707-99,57050184-01,0
43073737-OR,43025786-OR,1
57084388-99,57024405-TN,0
43003754-OR,51040588-99,1
57085801-99,57087880-99,0
43035756-16,43077738-CU,1
51091078-85,53050625-28,0
43033720-15,43045787-OR,1
43063738-OR,51033727-92,0
53060518-02,43050805-OR,1
53035752-82,53015772-30,0
44045825-OR,51040592-01,1
53050632-08,43005802-OR,0
43083719-99,43095746-01,1
57015138-30,53053714-06,0
43073737-OR,43035019-08,1
57072889-OR,51093784-20,0
43063738-OR,43003754-OR,1
57095794-99,53103802-OR,0
53090511-CU,43080721-OR,1
53005769-99,57050102-99,0
51040592-99,43053737-OR,1
53095770-52,57014045-PL,0
43073737-OR,53090511-CU,1
53021098-OR,53093047-99,0
53030691-OR,53080828-OR,1
57059206-99,57050028-99,0
51040612-35,53060546-15,1
57094754-99,57047881-OR,0
53030715-OR,53040519-08,1
57048635-36,57097886-70,0
53050632-08,51040612-70,1
57035965-35,57026027-94,0
43005802-OR,43073737-OR,1
57094431-DI,57022511-PL,0
43063738-46,43063738-OR,1
57015922-OR,57014425-99,0
53050630-09,43045788-28,1
57022511-PL,57050094-80,0
43003751-OR,51040615-08,1
53080809-OR,53033776-OR,0
43047046-05,43005029-08,1
53000765-OR,57010037-05,0
43073737-OR,43047758-05,1
47024032-CU,53033776-OR,0
43063738-OR,53070592-08,1
53033761-99,53015772-99,0
53050630-09,43003751-OR,1
57040251-02,53050632-08,0
51040615-99,41037796-26,1
57033796-65,57040158-99,0
53030691-OR,53080828-OR,1
57095933-99,53003751-99,0
57045924-99,51033727-92,1
57074432-08,53073754-OR,0
53063757-50,51040639-69,1
53083713-05,57040076-99,0
53043037-OR,51013711-99,1
57094033-PL,57010046-99,0
53003778-OR,53023028-99,1
57074417-99,57065149-99,0
43063738-46,43063737-OR,1
43080721-OR,57087758-70,0
43047042-07,51040641-15,1
67020053-OR,57020046-99,0
41065027-19,43015796-OR,1
57014427-30,57020048-CU,0
43005802-OR,43073737-OR,1
57057895-76,57072511-02,0
43063738-46,43025786-OR,1
57043797-99,47087877-01,0
43030693-OR,53090511-CU,1
57040274-PL,53050548-99,0
44045825-OR,51040641-20,1
57050265-05,57085804-CU,0
43005802-OR,53050595-OR,1
53080809-OR,53090511-CU,0
43073754-OR,43047042-07,1
57008278-99,53060830-OR,0
43015796-OR,43090723-OR,1
57034038-94,53083780-99,0
43077762-01,43005802-OR,1
53080687-14,53073782-TO,0
43063738-46,43077738-99,1
57028280-52,53091158-OR,0
43015796-OR,43090723-OR,1
57024405-TN,53060518-02,0
43025786-OR,43035019-08,1
53023736-TO,53091158-OR,0
43030693-OR,53030636-07,1
43017744-99,53063765-99,0
43053725-OR,51040641-76,1
57010719-02,57065149-PL,0
53040578-01,43003754-OR,1
57050095-98,57093819-01,0
43080721-OR,43025787-OR,1
57069100-43,57042511-99,0
53090591-12,51040641-99,1
57085938-10,47047109-01,0
53060518-02,53090511-CU,1
53050576-01,57000438-OR,0
53090827-OR,53191158-46,1
57040291-TM,53080828-OR,0
53090517-08,51040837-02,1
53021059-08,53050531-70,0
53090511-CU,53090827-OR,1
43089077-01,53095768-99,0
53103798-OR,53063037-OR,1
53083773-OR,53080828-OR,0
53191158-46,51060677-08,1
53093047-99,57083803-05,0
53090636-99,51040845-02,1
51075026-49,57080490-08,0
53023716-07,53023770-04,1
57045793-06,57022510-99,0
41041002-37,51040856-05,1
57081176-PL,57075782-CG,0
53053763-30,53033776-OR,1
57084433-83,53023716-07,0
53021059-08,53060830-OR,1
57010040-99,53030594-08,0
53080920-99,51040856-94,1
53040519-08,47054426-99,0
53013741-05,53040541-05,1
53015770-02,53000586-TN,0
43063738-46,53040578-01,1
57094033-PL,53091158-OR,0
53030963-99,53081158-OR,1
57002542-OR,53053793-OR,0
53193794-OR,53050682-70,1
57094014-05,53030691-OR,0
43015793-OR,51030904-08,1
53003800-99,57026032-92,0
53070710-OR,51040889-08,1
57015800-99,57056021-01,0
53060518-02,53030691-OR,1
57059088-99,57026006-PL,0
53050831-OR,53031097-OR,1
53030691-OR,57031178-99,0
53050632-08,51040897-08,1
53090590-02,53030715-OR,0
53060518-02,53030691-OR,1
57085938-10,57016021-PL,0
53070631-08,53031097-OR,1
53080906-41,57025801-95,0
51040902-54,53000588-TM,1
53070906-13,57071168-OR,0
53030594-08,53090511-CU,1
57004053-PL,53091158-OR,0
53050803-OR,53090827-OR,1
57056013-92,57040161-TC,0
51041012-TM,53090716-15,1
57030776-99,57074431-99,0
53080809-OR,53090580-57,1
53043775-99,57013806-99,0
53050681-OR,51041070-02,1
53040548-99,57002521-99,0
53050548-99,53030691-OR,1
53005774-01,57026009-30,0
51043731-99,57075781-99,1
57076024-99,53023759-32,0
51080862-99,51041070-94,1
53093047-99,57029027-99,0
57006707-99,53095768-99,1
53030691-OR,57086025-99,0
53031097-OR,51041070-99,1
57002513-99,57040274-OR,0
53071140-23,53051142-20,1
47015850-OR,53005739-99,0
53045033-43,51041107-70,1
53043782-02,51015735-99,0
53081158-OR,53193794-OR,1
47085848-TM,53103803-OR,0
53093047-99,53103796-OR,1
57040291-TM,47094043-05,0
51041120-43,53010929-99,1
57004381-30,57010275-OR,0
53030691-OR,53073755-08,1
57040108-80,53065769-99,0
53080805-92,51041120-99,1
57010006-CU,57092521-PL,0
53040578-01,53050624-01,1
57002516-99,57051178-OR,0
53073754-OR,53103796-OR,1
57050289-TN,57016021-PL,0
53080809-OR,57075782-77,1
57074023-99,57015922-OR,0
51043029-08,53040620-28,1
53073037-99,53020589-99,0
53081158-OR,53063786-99,1
53080809-OR,57064028-99,0
53103796-OR,51043029-56,1
53040593-08,57010046-99,0
53040578-01,53080809-OR,1
57005813-09,43015024-99,0
53050624-01,51043029-70,1
57035784-TN,57005952-PL,0
53080809-OR,53020588-99,1
53091158-OR,57065140-32,0
53000625-99,51043029-99,1
57064001-TN,53020885-05,0
53090511-CU,53080809-OR,1
53013048-87,67040073-90,0
53053763-30,53081158-OR,1
53065769-99,53015758-09,0
53040593-08,53003778-OR,1
57007775-70,57044016-07,0
53050595-OR,51043050-05,1
57016021-PL,53193794-OR,0
53030691-OR,53117744-99,1
53083024-07,43073737-OR,0
53021059-08,53060830-OR,1
57005506-80,57021179-01,0
51043710-99,53070540-07,1
43087766-OR,57010282-01,0
53073755-08,53021098-OR,1
57073807-65,57030776-99,0
51033727-30,51043727-30,1
57055144-99,53070671-TN,0
53091158-OR,53080809-OR,1
53030594-08,53103805-OR,0
57055921-02,53083780-99,1
47077106-06,57089210-99,0
53090733-99,51033727-92,1
57034038-94,53080716-OR,0
51043727-92,53020894-02,1
53075779-99,47001196-99,0
53080809-OR,53080778-99,1
53053745-85,53095770-52,0
51013730-56,51043728-56,1
67040281-99,53090511-CU,0
53090742-99,53013794-CU,1
53080805-92,53013792-99,0
53080809-OR,53080778-99,1
67000260-99,53060830-OR,0
53090742-99,51013730-57,1
53075779-99,57003823-TM,0
51043728-57,53013793-99,1
57095923-CU,53043747-99,0
43003754-OR,53091158-OR,1
57092894-99,57050257-99,0
53090511-CU,53053763-30,1
47005930-99,53091158-OR,0
51043730-56,53040605-CU,1
67050277-99,53000759-99,0
53060518-02,53053763-30,1
57050184-43,57004409-94,0
53193794-OR,53103804-OR,1
57050088-02,57093253-01,0
53193794-OR,51070902-99,1
53047671-06,57041178-OR,0
53013794-CU,53073715-99,1
57036012-99,51093779-95,0
53103804-OR,51043731-70,1
53000588-02,57050471-05,0
53091158-OR,53080809-OR,1
57040378-43,67040070-OR,0
53021059-08,53093739-99,1
57015905-32,53050576-01,0
43088834-05,51043731-94,1
53060511-08,57014036-PL,0
53091158-OR,53080809-OR,1
53080828-OR,57087702-99,0
51043731-99,53023770-04,1
57019080-52,51015719-09,0
51080862-99,53015757-05,1
53050595-OR,53093039-05,0
53050576-01,53081158-OR,1
57050294-OR,57088272-99,0
53033776-OR,53060830-OR,1
57061181-56,57050121-56,0
53090591-12,51043739-03,1
53065769-99,53065733-02,0
53020607-07,53080809-OR,1
51090750-05,57050294-PL,0
53023770-04,51043741-02,1
57005813-09,57034776-PL,0
53003778-OR,53050518-99,1
57086313-95,53055750-92,0
53043747-99,51043741-09,1
53093047-99,57010317-85,0
53023736-07,53093777-17,1
57050294-OR,53030691-OR,0
53030691-OR,51053024-99,1
57043810-95,53080809-OR,0
53013773-99,53043747-99,1
57010257-01,53080809-OR,0
53060830-OR,53013757-OR,1
53090805-99,57081168-PL,0
51043739-03,51043741-99,1
57069088-99,67040526-99,0
53050961-11,53003778-OR,1
53021059-08,53050829-OR,0
53090591-12,51043761-43,1
57005813-94,57074023-99,0
53091158-OR,53003778-OR,1
53040578-01,57014425-PL,0
53075779-99,53023772-99,1
53045718-99,57010282-99,0
53003778-OR,53043747-99,1
53033794-09,47005933-TC,0
51043778-43,53081057-99,1
57036012-99,53091158-OR,0
53080809-OR,53023028-99,1
53000586-TC,53040578-01,0
53080920-99,51043778-92,1
53030812-OR,53041017-OR,0
53033776-OR,53003736-05,1
53071101-81,57050230-01,0
57005952-PL,53013788-99,1
37010741-37,53091158-OR,0
51045027-49,53055031-99,1
47094043-05,57086020-02,0
53030691-OR,53023750-01,1
47005921-99,51015719-99,0
57005952-PL,51045029-99,1
53071096-OR,53050630-09,0
53070631-08,53033776-OR,1
53093739-99,53080602-20,0
51045032-43,57064001-02,1
53040578-01,57075782-CG,0
53110680-99,53020885-05,1
57010037-99,57030982-PL,0
57005952-PL,57005506-80,1
57047650-09,57004059-OR,0
51045032-99,51935027-99,1
57064784-99,57005952-PL,0
53080809-OR,53070821-TN,1
57056004-OR,57027705-37,0
53080920-99,51045034-79,1
51053704-69,57009123-02,0
57085919-99,53073754-OR,1
53093739-99,53060658-74,0
53021099-OR,51045733-99,1
47101250-99,57059206-99,0
53055750-92,53010619-94,1
53077019-50,57072882-99,0
53073754-OR,53013788-99,1
53023750-01,57003811-TO,0
51045734-99,53000995-01,1
57040579-32,57030258-99,0
53025026-52,57005933-OR,1
57030259-06,57082885-05,0
53083780-99,51045738-99,1
57027691-TO,57093253-01,0
51085749-99,53005774-01,1
57094385-99,57050230-01,0
53080805-92,53003751-99,1
53063786-99,43025786-OR,0
51045746-99,57005937-OR,1
57036012-99,47018645-05,0
57085919-99,53073754-OR,1
57002513-99,47025953-32,0
53065769-99,53005774-01,1
57050477-TM,57050468-52,0
51045751-92,51085028-99,1
51085028-99,57056022-99,0
53080809-OR,51005744-99,1
57054763-43,57040277-35,0
53065769-99,51045771-99,1
57039111-05,57085919-99,0
43073737-OR,43003754-OR,1
57016021-PL,57040165-68,0
43053725-OR,43015773-20,1
57066023-01,53075779-99,0
51050592-02,51070586-02,1
57026006-PL,43073737-OR,0
43075794-OR,43073737-OR,1
53053753-52,57010282-01,0
53030636-07,43003756-OR,1
57020047-99,57036018-56,0
51050592-08,51070586-08,1
47005920-99,57005506-80,0
43013748-01,43035799-09,1
53000591-TO,57027882-90,0
53030594-08,43063738-46,1
53080809-OR,57040076-99,0
43025786-OR,43063738-OR,1
67020050-PL,53043051-99,0
43003754-OR,53090511-CU,1
53053763-30,57084388-99,0
43053725-OR,51050640-10,1
47015850-OR,53020607-07,0
43063738-46,43063738-OR,1
53091158-OR,57074417-99,0
43095018-28,43015773-20,1
53060575-52,53070521-92,0
51050640-74,43005812-52,1
47036304-08,57082888-88,0
43077762-01,43063738-46,1
53031097-OR,57072001-01,0
53050548-99,53090511-CU,1
57004051-OR,47085839-TC,0
53050576-01,53043037-OR,1
53025775-99,57050294-OR,0
53003778-OR,53050518-99,1
57066004-99,57014406-BL,0
53030594-08,53030636-07,1
57040026-30,53055708-92,0
53030691-OR,51050641-52,1
53010582-02,47044016-01,0
53090511-CU,53080809-OR,1
47054026-OR,57001097-99,0
53020608-07,53031097-OR,1
53050624-01,57096026-99,0
51050751-07,53020934-01,1
57045793-02,57079098-99,0
53060518-02,53053763-30,1
57062881-01,53091158-OR,0
53080871-99,53090827-OR,1
53080567-GM,47034759-99,0
53050595-OR,53063037-OR,1
47045860-05,57004410-99,0
53103804-OR,51050756-07,1
57005952-PL,53010573-TG,0
53030594-08,53040578-01,1
57000340-TN,57024034-PL,0
53050829-OR,53090511-CU,1
53053714-06,57055921-02,0
53053763-30,53050624-01,1
57040274-OR,53050625-28,0
53030756-02,51050756-12,1
43015013-08,53033767-90,0
53030691-OR,53070616-07,1
47064042-OR,57005802-05,0
53050630-09,53050681-OR,1
57045789-76,57005820-26,0
43090723-OR,51050835-74,1
57006707-99,57050088-PL,0
53030594-08,53040578-01,1
47085944-OR,43033733-79,0
53030715-OR,53060830-OR,1
53103798-OR,53043037-OR,0
53103803-OR,53050829-OR,1
57074781-TU,47037654-99,0
53050683-92,51080862-08,1
57036012-99,57050111-PL,0
53013741-05,51050893-99,1
53000887-01,57037882-90,0
43063738-46,53091158-OR,1
57017714-99,67010080-OR,0
53090511-CU,53080828-OR,1
47098645-99,57085971-99,0
53030963-99,53193794-OR,1
57072882-99,57064028-09,0
53040712-OR,51050904-43,1
57065943-99,57042511-99,0
43063738-46,53091158-OR,1
53050614-11,53050681-OR,0
53090511-CU,53080828-OR,1
57015938-99,53080809-OR,0
53030963-99,53193794-OR,1
57065149-99,53030871-05,0
53040712-OR,51050904-43,1
53050624-01,57063255-99,0
51050919-43,51050933-05,1
53000591-TN,47005922-CU,0
43063738-46,53091158-OR,1
57025784-15,53070717-OR,0
53090511-CU,53080828-OR,1
57023802-99,57042885-99,0
53030963-99,53081158-OR,1
53060511-08,67050069-PL,0
53193794-OR,53040712-OR,1
53091158-OR,57006017-OR,0
51050933-05,43083762-01,1
57050032-99,53013774-32,0
53030963-99,53193794-OR,1
53071096-OR,57023813-99,0
53003778-OR,53090517-08,1
57020012-01,53030691-OR,0
51050933-15,53040531-05,1
53025023-TG,51043029-56,0
53040578-01,53040609-CU,1
57084403-99,57014004-31,0
53081158-OR,51051013-01,1
57020155-84,57030409-45,0
53091158-OR,53090511-CU,1
53090827-OR,57050294-OR,0
53080809-OR,53050682-70,1
53060637-92,57083254-PL,0
53040593-08,51051013-99,1
57035965-99,53063757-50,0
53060518-02,53080809-OR,1
57056013-92,53021098-OR,0
51051037-01,53033778-50,1
53035745-43,53020588-99,0
53050576-01,53050624-01,1
53000591-01,53025775-99,0
53003778-OR,51051126-01,1
53025775-CU,57046016-05,0
53070830-OR,53040712-OR,1
53075025-05,57077728-76,0
53060830-OR,53090580-57,1
57019219-OR,57013784-05,0
51053024-05,53003725-99,1
53090614-02,57069209-57,0
53050803-OR,53070830-OR,1
53040578-01,57000358-12,0
53060830-OR,51053024-99,1
57005975-TO,53003752-99,0
53050961-11,53060603-28,1
53020884-01,53000755-30,0
43088834-05,41055822-08,1
47045852-01,57027690-TM,0
53030691-OR,53093739-99,1
53023035-OR,57030409-99,0
41083009-08,51053025-30,1
53070602-TN,57059089-81,0
53030691-OR,53090544-05,1
57002542-OR,53080809-OR,0
53063757-50,51053035-01,1
53041096-OR,51040845-02,0
53080809-OR,53030963-99,1
53090751-OR,57037879-OR,0
53020588-99,53023716-07,1
53030662-01,53191158-46,0
53060518-02,53103803-OR,1
53053714-06,51025722-05,0
53091158-OR,53023750-01,1
57085785-35,53050615-01,0
53090544-05,51053035-56,1
57058274-95,57009222-99,0
53091158-OR,53030963-99,1
53043037-OR,53080920-99,0
53103796-OR,51053035-99,1
53080809-OR,53095770-01,0
53070592-08,53030691-OR,1
57014425-PL,57064034-09,0
53050581-11,51053041-11,1
57055958-DI,53080716-OR,0
53060518-02,53080809-OR,1
57097744-30,53030963-99,0
53050624-01,53031097-OR,1
57041178-OR,57042883-52,0
53053793-OR,51053041-81,1
57025805-99,57002536-OR,0
53050576-01,53193794-OR,1
57042524-OR,53050682-70,0
53021059-08,53103804-OR,1
53080920-99,57022883-99,0
53103803-OR,53050829-OR,1
57000365-99,57023823-OR,0
53030963-99,53050624-01,1
53043777-CU,57055147-99,0
51080862-99,51053043-99,1
53003766-OR,53003757-09,0
53060518-02,43003754-OR,1
57022526-PL,57085938-10,0
43087766-OR,51053704-69,1
57073799-99,57017891-05,0
43057761-05,51063704-69,1
57085788-79,57044407-09,0
43025786-OR,43065750-99,1
57094427-02,57009216-99,0
43003754-OR,43080721-OR,1
57073807-99,53040578-01,0
43047752-99,43015024-99,1
43065750-99,53053709-36,0
43053737-OR,51053704-92,1
57085801-99,51083782-02,0
43029064-99,51063704-92,1
57050230-01,53070830-OR,0
53080809-OR,53090733-99,1
57004788-99,57095786-05,0
53083725-01,53031097-OR,1
53040605-CU,57096722-TN,0
51033727-30,51053024-05,1
53193794-OR,57050336-PL,0
53040578-01,53080809-OR,1
43063738-46,57066008-92,0
53050624-01,51053728-56,1
57020047-99,53083718-99,0
53040578-01,53080809-OR,1
57071168-OR,53093791-01,0
53050624-01,51053728-57,1
57072505-99,53095764-37,0
53080809-OR,53033761-99,1
53015762-12,53005774-01,0
53040541-05,51053732-99,1
57022511-PL,57014041-OR,0
53010568-01,57015902-31,1
57092893-PL,57078635-99,0
57075781-99,53083725-01,1
43057767-70,57085788-79,0
53043746-32,57005952-PL,1
53061103-99,57054422-08,0
51020771-99,57005937-OR,1
57096026-99,43027739-01,0
51053735-08,53087684-32,1
57093795-99,53043037-OR,0
57005506-80,53030812-OR,1
67020576-99,57084035-56,0
53033778-50,51053746-85,1
57045130-02,53005739-99,0
53050576-01,53091158-OR,1
53003751-99,43073737-OR,0
53080544-05,53003778-OR,1
47064425-99,53010582-TM,0
51023749-45,51053748-45,1
57064001-TN,37000577-30,0
53080809-OR,53065769-99,1
51003749-99,57025141-TN,0
53045718-99,51053770-99,1
57053818-40,51085028-99,0
57015131-99,53013792-99,1
57086003-PL,53080716-OR,0
53030691-OR,53030751-28,1
57054407-99,57076026-05,0
53080545-07,51053786-52,1
57085792-43,57014041-OR,0
53080809-OR,53093739-99,1
67010036-01,57003804-TN,0
53015776-07,57064001-02,1
47085855-99,57039089-99,0
53110680-99,51053787-20,1
53005032-TU,51065030-05,0
53080809-OR,57075781-99,1
57055992-99,57010037-99,0
